1057074,Medicine,39,General Internal Med
1057074,Family Medicine,25,Family Practice
1057074,Pediatrics,61,General Pediatrics
1057074,Surgery,32,General Surgery
1057074,OB/GYN,52,General OB/Gyn
1057074,Orthopaedic Surgery,57,Orthopedic Surg
1057074,Internal Medicine,39,General Internal Med
1057074,Ophthalmology,56,Ophthalmology
1057074,Radiology,75,Gen Diag/Interv Radiology
1057074,Oral Surgery & Maxil,A0,Dent/Oral Surg
1057074,Otolaryngology,58,Otolaryn/Head&Neck
1057074,Neurology,44,General Neurology
1057074,Anesthesiology,06,Anesthesia
1057074,Neurosurgery,50,Neurosurgery
1057074,Urology,C0,Urology Medical
1057074,Psychiatry,59,General Psychiatry
1057074,Emergency Medicine,22,Emergency Med
1057074,Medicine/Pediatrics,61,General Pediatrics
1057074,Newborn Center,52,General OB/Gyn
1057074,Thoracic Surgery,C5,Thoracic Surgery
1057074,Plastic Surgery,71,Plastic Surg
1057074,Pathology,72,Anatomic/Clinical Path
1057074,Trauma,80,Trauma
1057074,Medicine/Card.,10,Cardiology
1057074,Medicine/Pulmonary,73,Pulmonary/Crit Care
1057074,AHP - Trauma/Nurse P,80,Trauma
1057074,Dermatology,17,Dermatology
1057074,Medicine/Hematology/,A3,Internal Med Heme/Onc
1057074,Pul/Crit - Med,73,Pulmonary/Crit Care
1057074,General Dentistry,A0,Dent/Oral Surg
1057074,Pediatrics/Neonatolo,48,Neo / Perinatal Med
1057074,Surgery/Vascular,83,Vascular Surg
1057074,Medicine/Hepatology,C7,Hepatology
1057074,Allergy/Immunology,04,Allergy/Immunology
1057074,Cardiology/Pediatric,63,Pediatric Cardiology
1057074,Maternal-Fetal Medic,42,Maternal and Fetal
1057074,Family Practice,25,Family Practice
1057074,Medicine/Hematology,A3,Internal Med Heme/Onc
1057074,General Surgery,32,General Surgery
1057074,Physical Medicine an,C4,Sports Medicine
1057074,Orthopaedics,57,Orthopedic Surg
1057074,Psychiatry/Child,13,Child/Adoles Psych
1057074,Ophthalmology/Pediat,56,Ophthalmology
